k = 2,k = 5,k = 10
119841.32211407376,118203.52745229374,117053.54302841378
116005.47792640356,120126.8396670743,121096.56337667396
120499.14104282946,117946.16020123214,119761.3974804808
118647.2677868895,116991.27458405112,121484.95652575076
120674.63499472561,124042.16730009788,122138.43544405416
119228.1699648066,117764.70292057568,120918.31306964582
120473.64178017946,113685.03240169177,114300.97857514623
120420.24702371628,113187.56695706848,118736.28209106994
119188.80342599761,121760.27040307604,120410.58682052715
118054.29528002004,120779.4933123932,118960.21208116139
118056.18395787165,116880.44111586796,120621.81613330175
122461.38605428208,119124.3183856757,123113.53931595187
122223.09369472592,121030.17219793868,120182.66149273464
119993.51089391315,119336.90438100958,117328.12962444505
120795.25501945023,113925.60633585518,123072.35929731624
120051.51727750812,120460.96997317429,120129.49470982283
117159.03107338582,117694.49056798527,121752.15370398425
119776.08778964885,119318.75360936175,118561.54922018187
119091.42376696492,121039.9050251465,117712.8715380636
119593.48827361721,116745.4709634177,120388.54108579662
122167.21719644874,122030.31391541295,119026.77739719478
121855.55762601166,126624.80637998409,117637.90771645006
120958.29844908601,118990.01851335792,120595.0653749455
120336.9311326137,122522.48565088867,118334.7314206095
114968.76032985811,117771.66892069987,117544.73737103895
118769.3318531147,120373.02011901085,117118.12133939475
123384.07082907601,119010.85027016744,119620.81547270676
121522.10639935688,116583.96201701109,119500.06253886144
113668.69808052214,119791.1321064945,115426.94417192622
119429.19175373894,121190.6559100185,120249.89862285457
